id,weblink,game,category,comment,date,time,player,status,system,emulated
6yjdqggy,https://www.speedrun.com/dk64/run/6yjdqggy,9d385g1l,n2y7472o,"Will add video later, decent pb",2016-04-09,2897,y8d4vg86,verified,w89rwelk,false
pzgl9gdm,https://www.speedrun.com/dk64/run/pzgl9gdm,9d385g1l,n2y7472o,N I G H T M A R E,2016-09-01,2880,v8l4ymvj,verified,w89rwelk,false
8y818dz1,https://www.speedrun.com/hl2/run/8y818dz1,ok6q991g,r02qjydy,,2013-08-14,7824,zx727q87,verified,8gej2n93,false
0y625wpz,https://www.speedrun.com/hl2/run/0y625wpz,ok6q991g,l824pw25,can probably have another 5-10 minutes shaved off if done well ,2016-06-05,4635.01,zxzkdrxq,verified,8gej2n93,false
zn8xw27z,https://www.speedrun.com/hl2/run/zn8xw27z,ok6q991g,l824pw25,"Much much happier with the way this run turned out. I can't believe barney died and caused me to lose so much time, as well as accidentally picking up the grenades over and over in the same place. Still a lot to improve on but I'm getting there :D",2018-01-24,4063,zxznqw0x,verified,8gej2n93,false
wzpw1ryq,https://www.speedrun.com/smb1/run/wzpw1ryq,om1m3625,w20p0zkn,,2014-10-28,303.73,qjnzw4jm,verified,jm95z9ol,false
1zx1opky,https://www.speedrun.com/smb1/run/1zx1opky,om1m3625,w20p0zkn,Just for fun. Everdrive,2017-02-23,352,pj0nkkm8,verified,jm95z9ol,false
zpqnopry,https://www.speedrun.com/smb1/run/zpqnopry,om1m3625,w20p0zkn,Guiz vs Super Mario,2017-04-13,464,48g0gm1x,verified,jm95z9ol,false
yw1p2o0z,https://www.speedrun.com/smb1/run/yw1p2o0z,om1m3625,w20p0zkn,"My first time beating SMB1 ever. My split times were messed up, however the overall time although I stopped it late is at least accurate.",2017-05-28,521,qjnp2y48,verified,jm95z9ol,true
y8q2oo1y,https://www.speedrun.com/smb1/run/y8q2oo1y,om1m3625,w20p0zkn,,2017-07-04,371,98rp2odj,verified,jm95z9ol,true
y67dl60m,https://www.speedrun.com/smb1/run/y67dl60m,om1m3625,mke8vjk6,antoher pb ima take a break tomorrow becaus school im tired from grinding too hard so ima jus not speedrun tomorrow. pls verify,2017-08-15,310.813,zx7zvyv8,rejected,83exk6l5,true
wzp83e8y,https://www.speedrun.com/smb1/run/wzp83e8y,om1m3625,wdmz042q,Emu: Nestopia 0.0.0.1 v1.40 (FCEUX color pallete),2015-11-29,1331,pj07d3xw,verified,mr6k409z,true
yw1jojpz,https://www.speedrun.com/smb1/run/yw1jojpz,om1m3625,w20p0zkn,"Emulator: BizHawk 2.2

8-2 and 8-4 water section cost me overall PB????

@Mods: Replaced the videos with my local recording which doesn't have any lag.",2017-10-10,317,qxkow598,verified,3167d6q2,true
ydq1o60m,https://www.speedrun.com/smb1/run/ydq1o60m,om1m3625,w20p0zkn,C o o l y,2017-11-18,325,zx7g6o0x,verified,jm95z9ol,false
mek0j29m,https://www.speedrun.com/smb1/run/mek0j29m,om1m3625,wdmz042q,,2018-01-03,1540,0jm36qe8,verified,jm95z9ol,false
zq6qjd9y,https://www.speedrun.com/smb1/run/zq6qjd9y,om1m3625,wdmz042q,,2018-01-31,1190,98r5r13x,verified,jm95z9ol,false
yo4ewp0m,https://www.speedrun.com/smb1/run/yo4ewp0m,om1m3625,mke8vjk6,,2018-03-03,322,kjpzo50x,verified,83exk6l5,false
z5o4vgny,https://www.speedrun.com/smb1/run/z5o4vgny,om1m3625,w20p0zkn,Pretty clean for me...room for improvement...always fun!,2018-04-08,413,5j5vw068,verified,jm95z9ol,true
yvj40r4y,https://www.speedrun.com/smb1/run/yvj40r4y,om1m3625,xd1em828,"I tried submitting this already, but ig something happened so it never got verified or rejected i used FCEUX as always",2018-05-30,179,zx7gv4qx,verified,jm95z9ol,true
mk934r5z,https://www.speedrun.com/smb1/run/mk934r5z,om1m3625,xd1em828,yay i used Bizhawk (but i just want to say so this dosnt get rej. agan i dont have a clue have to make a tas so i would never use it in a run.) i found the other bit of the reset so i have cliped it on.,2018-07-23,205,kjp9r6y8,verified,mr6k409z,true
mk9gokvz,https://www.speedrun.com/smb1/run/mk9gokvz,om1m3625,w20p0zkn,"https://www.twitch.tv/videos/309494247
Peercast, nicoLive rule: 5:15.700",2018-09-13,301.304,qxkv6rmj,verified,jm95z9ol,false
8yvlj6ez,https://www.speedrun.com/smb1/run/8yvlj6ez,om1m3625,wdmz042q,"
pretty disappointing pb but oh well. lost fire in 4-4 making w5... interesting lol. and then had a very nervy w8...will keep pushing for a run im actually happy with.

note: i split late (pretty sure its a mid 19:40); played on powerpak.",2016-08-10,1180,v8l0o978,verified,jm95z9ol,false
2yw2pkpy,https://www.speedrun.com/smb1/run/2yw2pkpy,om1m3625,w20p0zkn,"MARIO BROS (NES)
PB = 5:23
SPLITS:
1-1 = 0:30 (0:30)
1-2 = 0:32 (1:02)
4-1 = 0:38 (1:40)
4-2 = 0:33 (2:13)
8-1 = 0:55 (3:08)
8-2 = 0:41 (3:49)
8-3 = 0:39 (4:28)
8-4 = 0:55 (5:23)",2016-11-12,323,zx7mo7vx,verified,jm95z9ol,true
0zn61rly,https://www.speedrun.com/smb1/run/0zn61rly,om1m3625,w20p0zkn,"Everything I was shooting for minus the 8-4 wall jump. 
FCEUX 2.2.3 with lua script timer
",2017-01-15,304,kjpor458,verified,jm95z9ol,true
9mro30gm,https://www.speedrun.com/mtpo/run/9mro30gm,pd05xl1e,5dw9qn2g,"Mike ""Switchback"" Tyson",2016-05-29,1074.06,18qrry7j,verified,jm95z9ol,true
mrq4x38y,https://www.speedrun.com/mtpo/run/mrq4x38y,pd05xl1e,5dw9qn2g,Meh run. Hopefully can surpass it soon,2017-08-05,1239.84,pj03m1mj,verified,jm95z9ol,false
z039vq4z,https://www.speedrun.com/mtpo/run/z039vq4z,pd05xl1e,vdo93vdp,1st time I have landed all 3 misdirects :o,2018-08-19,78,dx3z2kjl,verified,jm95z9ol,false
